name,NSE_code,BSE_code,sector,industry,operating_expenses,operating_profit,operating_profit_margin,depreciation,interest,profit_before_tax,tax,net_profit,EPS,profit_TTM,EPS_TTM
Motherson Sumi Wiring India Ltd.,MSUMI,543498,AUTOMOBILES & AUTO COMPONENTS,AUTO PARTS & EQUIPMENT,1856.50,248.10,0.12,36.40,45389.00,210.00,54.10,155.90,0.30,523.60,45323.00
Olectra Greentech Ltd.,OLECTRA,532439,AUTOMOBILES & AUTO COMPONENTS,COMMERCIAL VEHICLES,266.60,40.50,0.13,45512.00,45482.00,45347.00,8.00,45461.00,45324.00,78.50,45452.00
Patanjali Foods Ltd.,PATANJALI,500368,FMCG,EDIBLE OILS,7426.60,395.30,0.05,60.10,24.00,335.10,80.50,254.50,7.00,875.20,45346.00
Raymond Ltd.,RAYMOND,500330,TEXTILES APPARELS & ACCESSORIES,TEXTILES,1938.80,314.60,0.14,65.40,89.30,204.20,50.70,159.80,24.00,1514.20,227.50
Swan Energy Ltd.,SWANENERGY,503310,REALTY,REALTY,966.30,257.00,0.21,45318.00,58.30,178.40,45516.00,84.60,45479.00,308.40,45484.00
Samvardhana Motherson International Ltd.,MOTHERSON,517334,AUTOMOBILES & AUTO COMPONENTS,AUTO PARTS & EQUIPMENT,21585.00,1888.80,0.08,867.40,487.90,449.50,229.20,201.60,0.30,1910.30,45506.00
Vedant Fashions Ltd.,MANYAVAR,543463,RETAILING,SPECIALTY RETAIL,125.50,92.80,0.43,32.50,45483.00,64.80,45307.00,48.70,2.00,399.90,45428.00
Adani Wilmar Ltd.,AWL,543458,FMCG,EDIBLE OILS,12123.50,143.70,0.01,95.70,220.20,-161.80,-31.50,-130.70,-1.00,130.10,1.00
Mahindra Lifespace Developers Ltd.,MAHLIFE,532313,REALTY,REALTY,52.70,-34.90,-1.96,45294.00,0.20,-30.30,-10.80,-18.90,-1.20,1005.20,0.70
Tejas Networks Ltd.,TEJASNET,540595,TELECOM SERVICES,OTHER TELECOM SERVICES,383.00,13.00,0.03,41.70,7.00,-17.70,-5.10,-12.60,-0.70,-61.30,-3.50
Aether Industries Ltd.,AETHER,543534,CHEMICALS & PETROCHEMICALS,SPECIALTY CHEMICALS,118.20,46.00,0.28,45482.00,45444.00,48.70,45303.00,36.70,45506.00,139.10,45422.00
JBM Auto Ltd.,JBMA,ASM,AUTOMOBILES & AUTO COMPONENTS,AUTO PARTS & EQUIPMENT,1091.30,139.70,0.11,41.20,47.90,58.30,45362.00,44.20,45476.00,136.80,45454.00
Deepak Fertilisers & Petrochemicals Corporation Ltd.,DEEPAKFERT,500645,CHEMICALS & PETROCHEMICALS,COMMODITY CHEMICALS,2138.10,286.10,0.12,81.20,107.10,116.80,53.30,60.10,45508.00,674.50,53.40
Sharda Cropchem Ltd.,SHARDACROP,538666,CHEMICALS & PETROCHEMICALS,AGROCHEMICALS,559.60,45343.00,0.04,74.00,45447.00,-33.80,-6.30,-27.60,-3.10,191.00,45343.00
Shoppers Stop Ltd.,SHOPERSTOP,532638,RETAILING,DEPARTMENT STORES,878.20,160.90,0.15,108.20,54.90,45415.00,0.80,45475.00,0.20,94.20,45451.00
BEML Ltd.,BEML,500048,AUTOMOBILES & AUTO COMPONENTS,COMMERCIAL VEHICLES,855.30,61.50,0.07,45519.00,45514.00,42.20,-9.60,51.80,45394.00,200.80,48.20
Lemon Tree Hotels Ltd.,LEMONTREE,541233,HOTELS RESTAURANTS & TOURISM,HOTELS,125.30,101.90,0.45,45465.00,47.30,34.80,45451.00,45465.00,0.30,130.10,45444.00
Rainbow Childrens Medicare Ltd.,RAINBOW,543524,DIVERSIFIED CONSUMER SERVICES,HEALTHCARE FACILITIES,215.10,117.60,0.35,45530.00,45364.00,85.20,45313.00,62.90,45328.00,215.40,45343.00
UCO Bank,UCOBANK,532505,BANKING AND FINANCE,BANKS,1581.50,981.90,0.19,0.00,3302.30,639.80,238.10,403.50,0.30,184.00,45413.00
Piramal Pharma Ltd.,PPLPHARMA,543635,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,1645.70,265.60,0.14,184.50,109.90,45402.00,34.50,5.00,0.00,-133.60,-1.00
KSB Ltd.,KSB,500249,GENERAL INDUSTRIALS,INDUSTRIAL MACHINERY,493.40,70.30,0.12,45363.00,2.00,64.50,45308.00,50.10,45396.00,209.70,60.30
Data Patterns (India) Ltd.,DATAPATTNS,543428,GENERAL INDUSTRIALS,DEFENCE,67.50,40.80,0.38,45294.00,45353.00,46.30,45424.00,33.80,6.00,148.30,45438.00
Global Health Ltd.,MEDANTA,543654,DIVERSIFIED CONSUMER SERVICES,HEALTHCARE FACILITIES,631.10,212.90,0.25,42.90,45311.00,170.60,45.40,125.20,45477.00,408.90,45337.00
Aarti Industries Ltd.,AARTIIND,524208,CHEMICALS & PETROCHEMICALS,SPECIALTY CHEMICALS,1221.20,232.80,0.16,93.00,58.20,81.60,-9.10,90.70,45414.00,446.20,45363.00
BLS International Services Ltd.,BLS,540073,DIVERSIFIED CONSUMER SERVICES,TRAVEL SUPPORT SERVICES,321.00,86.70,0.21,45358.00,1.00,87.20,45327.00,78.70,45536.00,267.60,45418.00
Archean Chemical Industries Ltd.,ACI,543657,CHEMICALS & PETROCHEMICALS,COMMODITY CHEMICALS,195.00,95.50,0.33,45429.00,45536.00,87.30,45372.00,66.00,45387.00,394.40,32.10
Adani Power Ltd.,ADANIPOWER,ASM,UTILITIES,ELECTRIC UTILITIES,7819.20,5171.40,0.40,1004.50,888.40,5223.60,-1370.60,6594.20,45428.00,20604.80,53.40
Craftsman Automation Ltd.,CRAFTSMAN,543276,AUTOMOBILES & AUTO COMPONENTS,AUTO PARTS & EQUIPMENT,941.60,237.50,0.20,66.80,41.60,133.80,45472.00,94.50,44.10,298.30,141.20
NMDC Ltd.,NMDC,526371,METALS & MINING,MINING,2823.60,1190.40,0.30,88.80,45461.00,1404.10,379.00,1026.20,45415.00,5862.20,20.00
Epigral Ltd.,EPIGRAL,543332,CHEMICALS & PETROCHEMICALS,SPECIALTY CHEMICALS,370.20,107.90,0.23,45443.00,45372.00,56.10,45552.00,38.00,45300.00,223.40,53.80
Apar Industries Ltd.,APARINDS,532259,CONSUMER DURABLES,OTHER ELECTRICAL EQUIPMENT/PRODUCTS,3576.20,349.80,0.09,45350.00,103.10,237.30,62.90,173.90,45.40,783.90,204.80
Bikaji Foods International Ltd.,BIKAJI,543653,FMCG,PACKAGED FOODS,521.00,87.70,0.14,45458.00,45537.00,75.20,45397.00,61.20,45414.00,173.60,45541.00
Five-Star Business Finance Ltd.,FIVESTAR,543663,BANKING AND FINANCE,FINANCE (INCLUDING NBFCS),133.20,375.00,0.72,45478.00,105.90,267.00,67.60,199.40,45510.00,703.00,45315.00
Ingersoll-Rand (India) Ltd.,INGERRAND,500210,GENERAL INDUSTRIALS,INDUSTRIAL MACHINERY,210.70,65.70,0.24,45447.00,0.60,67.00,45339.00,49.70,45519.00,218.50,69.20
KFIN Technologies Ltd.,KFINTECH,543720,BANKING AND FINANCE,OTHER FINANCIAL SERVICES,115.30,93.70,0.45,45455.00,45325.00,84.20,45373.00,61.40,45446.00,215.10,45455.00
Piramal Enterprises Ltd.,PEL,500302,BANKING AND FINANCE,FINANCE (INCLUDING NBFCS),1320.10,1117.90,0.51,38.30,1038.90,-11.80,45483.00,48.20,2.00,3906.50,173.90
NMDC Steel Ltd.,NSLNISP,543768,METALS & MINING,IRON & STEEL/INTERM.PRODUCTS,349.60,-72.20,-0.26,74.50,40.80,-174.70,-43.60,-131.10,-0.50,,
Eris Lifesciences Ltd.,ERIS,540596,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,324.20,181.10,0.36,42.10,45367.00,126.20,45538.00,123.40,45300.00,385.60,45379.00
Mankind Pharma Ltd.,MANKIND,543904,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,2025.50,682.60,0.25,96.50,45451.00,637.50,129.80,501.00,45424.00,1564.80,39.10
Kaynes Technology India Ltd.,KAYNES,ASM,CONSUMER DURABLES,OTHER ELECTRICAL EQUIPMENT/PRODUCTS,312.10,48.80,0.14,45418.00,45515.00,39.40,45298.00,32.30,45417.00,143.20,45467.00
Safari Industries (India) Ltd.,SAFARI,523025,TEXTILES APPARELS & ACCESSORIES,OTHER APPARELS & ACCESSORIES,306.60,63.50,0.17,45334.00,45324.00,51.90,45303.00,39.80,45489.00,162.30,68.20
Saregama India Ltd.,SAREGAMA,532163,MEDIA,MOVIES & ENTERTAINMENT,111.50,60.90,0.35,45330.00,0.20,65.60,45460.00,48.10,45414.00,193.40,10.00
Syrma SGS Technology Ltd.,SYRMA,543573,CONSUMER DURABLES,OTHER ELECTRICAL EQUIPMENT/PRODUCTS,662.70,49.00,0.07,45454.00,8.00,37.00,45388.00,45379.00,45444.00,132.40,45419.00
Jindal Saw Ltd.,JINDALSAW,ASM,GENERAL INDUSTRIALS,OTHER INDUSTRIAL PRODUCTS,4662.00,804.20,0.15,142.50,188.70,495.60,139.60,375.70,45515.00,1135.80,35.50
Godawari Power & Ispat Ltd.,GPIL,532734,METALS & MINING,IRON & STEEL/INTERM.PRODUCTS,929.60,361.40,0.28,34.80,45332.00,339.60,86.10,256.90,45463.00,785.50,63.00
Gillette India Ltd.,GILLETTE,507815,FMCG,PERSONAL PRODUCTS,530.80,136.70,0.20,45311.00,0.10,125.20,32.50,92.70,45410.00,361.60,111.00
Symphony Ltd.,SYMPHONY,517385,CONSUMER DURABLES,CONSUMER ELECTRONICS,234.00,41.00,0.15,7.00,2.00,43.00,8.00,35.00,45296.00,114.00,45428.00
Glenmark Life Sciences Ltd.,GLS,543322,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,428.30,167.10,0.28,45304.00,0.40,158.90,40.20,118.70,45482.00,505.50,41.30
Usha Martin Ltd.,USHAMART,517146,METALS & MINING,IRON & STEEL PRODUCTS,640.40,144.30,0.18,18.00,45388.00,141.20,35.00,109.50,45446.00,399.40,45304.00
Ircon International Ltd.,IRCON,541956,CEMENT AND CONSTRUCTION,CONSTRUCTION & ENGINEERING,2771.20,215.70,0.07,45318.00,36.90,301.20,77.60,250.70,45475.00,884.60,45391.00
Ujjivan Small Finance Bank Ltd.,UJJIVANSFB,542904,BANKING AND FINANCE,BANKS,528.60,483.40,0.35,0.00,567.80,436.40,108.70,327.70,45474.00,1254.50,45388.00
Procter & Gamble Health Ltd.,PGHL,500126,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,216.30,88.70,0.29,45418.00,0.20,88.00,45434.00,65.60,39.50,231.40,139.40
Allcargo Logistics Ltd.,ALLCARGO,532749,TRANSPORTATION,TRANSPORTATION - LOGISTICS,3188.80,118.00,0.04,106.70,36.70,45336.00,45352.00,45525.00,0.90,361.90,45487.00
Sheela Foam Ltd.,SFL,540203,DIVERSIFIED CONSUMER SERVICES,FURNITURE-FURNISHING-PAINTS,547.00,66.20,0.11,45556.00,45451.00,60.20,45458.00,44.00,45416.00,192.40,45490.00
Alok Industries Ltd.,ALOKINDS,521070,TEXTILES APPARELS & ACCESSORIES,TEXTILES,1323.10,35.90,0.03,78.60,142.20,-174.60,0.00,-174.80,-0.30,-948.40,-1.90
Minda Corporation Ltd.,MINDACORP,538962,AUTOMOBILES & AUTO COMPONENTS,AUTO PARTS & EQUIPMENT,1064.50,131.30,0.11,41.40,45549.00,77.00,45491.00,58.80,45414.00,278.20,45454.00
Concord Biotech Ltd.,CONCORDBIO,543960,PHARMACEUTICALS & BIOTECHNOLOGY,BIOTECHNOLOGY,143.20,119.20,0.45,45364.00,0.80,113.20,45501.00,81.00,45480.00,,
