name,NSE_code,BSE_code,sector,industry,operating_expenses,operating_profit,operating_profit_margin,depreciation,interest,profit_before_tax,tax,net_profit,EPS,profit_TTM,EPS_TTM
ICICI Lombard General Insurance Company Ltd.,ICICIGI,540716,BANKING AND FINANCE,GENERAL INSURANCE,4612.40,743.50,0.14,0.00,0.00,763.60,186.40,577.30,45515.00,1757.10,35.80
Aster DM Healthcare Ltd.,ASTERDM,540975,DIVERSIFIED CONSUMER SERVICES,HEALTHCARE FACILITIES,2939.40,377.30,0.11,227.20,101.90,45293.00,45332.00,-30.80,-0.60,284.30,45478.00
Central Depository Services (India) Ltd.,CDSL,CDSL,OTHERS,INVESTMENT COMPANIES,77.90,129.40,0.62,45418.00,0.00,145.60,35.80,108.90,45392.00,320.20,45473.00
Graphite India Ltd.,GRAPHITE,509488,GENERAL INDUSTRIALS,OTHER INDUSTRIAL GOODS,823.00,-30.00,-0.04,19.00,4.00,992.00,190.00,804.00,41.10,856.00,43.90
Grasim Industries Ltd.,GRASIM,500300,CEMENT AND CONSTRUCTION,CEMENT & CEMENT PRODUCTS,25995.90,4224.80,0.14,1245.20,397.80,2866.40,837.70,1163.80,45490.00,6624.90,100.60
KNR Constructions Ltd.,KNRCON,532942,CEMENT AND CONSTRUCTION,CONSTRUCTION & ENGINEERING,806.90,231.60,0.22,39.20,45463.00,177.10,34.60,147.40,45327.00,537.50,45310.00
Aditya Birla Capital Ltd.,ABCAPITAL,540691,DIVERSIFIED,HOLDING COMPANIES,4550.10,2821.90,0.37,48.00,1827.00,956.80,284.10,705.00,45475.00,5231.90,45311.00
Dixon Technologies (India) Ltd.,DIXON,540699,CONSUMER DURABLES,CONSUMER ELECTRONICS,4744.30,198.90,0.04,36.40,45308.00,146.10,35.20,107.30,19.00,308.70,51.80
Cholamandalam Financial Holdings Ltd.,CHOLAHLDNG,504973,DIVERSIFIED,HOLDING COMPANIES,2495.10,3404.80,0.54,52.10,2209.40,1215.80,324.60,420.90,45404.00,1532.30,81.60
Cochin Shipyard Ltd.,COCHINSHIP,540678,TRANSPORTATION,MARINE PORT & SERVICES,820.50,191.20,0.19,45553.00,45452.00,251.40,69.90,181.50,45517.00,429.90,32.70
Bharat Dynamics Ltd.,BDL,541143,GENERAL INDUSTRIALS,DEFENCE,481.80,134.00,0.22,45399.00,0.80,194.10,47.00,147.10,8.00,425.40,45345.00
